protein1	protein2	locs1	locs2	sizes	category
P08138	Q16539	Cell membrane,Cell projection,Membrane,Synapse	Cytoplasm,Nucleus	4|2	bothMulti
P00533	P52735	Cell membrane,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Nucleus,Secreted	none	7|1	oneMulti
P0C1Z6	Q07020	Nucleus	Cytoplasm,Endoplasmic reticulum	1|2	oneMulti
P01825	P12018	Cell membrane,Immunoglobulin,Membrane,Secreted	Endoplasmic reticulum	4|1	oneMulti
P22897	Q9UNS1	Cell membrane,Endosome,Membrane	Chromosome,Nucleus	3|2	bothMulti
O75880	P10599	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Nucleus,Secreted	3|3	bothMulti
Q6AW86	Q96CB9	Nucleus	Mitochondrion	1|1	bothSingle
O15182	P18509	Cytoplasm,Cytoskeleton,Nuclear pore complex,Nucleus	Secreted	4|1	oneMulti
Q8WXI8	Q9BY77	Cell membrane,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
P84103	Q9Y3X0	Cytoplasm,Nucleus	none	2|1	oneMulti
Q3MII6	Q9Y6X3	Cytoplasm,Cytoplasmic vesicle	Chromosome,Nucleus	2|2	bothMulti
Q8N2K1	Q96FW1	Endoplasmic reticulum,Membrane	Cytoplasm	2|1	oneMulti
P54368	Q08AD1	none	Cell projection,Cytoplasm,Cytoskeleton,Golgi apparatus,Microtubule	1|5	oneMulti
O60739	P20042	none	Cytoplasm	1|1	bothSingle
Q76LX8	Q96RG2	Secreted	Cytoplasm,Nucleus	1|2	oneMulti
Q13472	Q9H9A7	Mitochondrion	Nucleus	1|1	bothSingle
Q02790	Q92990	Cell projection,Cytoplasm,Cytoskeleton,Microtubule,Mitochondrion,Nucleus	none	6|1	oneMulti
P22897	Q96RQ9	Cell membrane,Endosome,Membrane	Cytoplasmic vesicle,Lysosome,Secreted	3|3	bothMulti
Q9BWG4	Q9NZD8	Nucleus	Cytoplasm,Endosome,Golgi apparatus,Membrane	1|4	oneMulti
P62837	Q76N89	none	Cytoplasm	1|1	bothSingle
P27487	Q9UBS4	Cell junction,Cell membrane,Cell projection,Membrane,Secreted	Endoplasmic reticulum	5|1	oneMulti
O00626	P51677	Secreted	Cell membrane,Membrane	1|2	oneMulti
