protein1	protein2	locs1	locs2	sizes	category
P52888	Q9UQ26	Cytoplasm	Cell membrane,Cell projection,Membrane,Synapse	1|4	oneMulti
O75553	P51693	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q3B726	Q9BXU1	DNA-directed RNA polymerase,Nucleus	none	2|1	oneMulti
Q9NR55	Q9UEW3	Nucleus	Cell membrane,Membrane	1|2	oneMulti
Q9P2N7	Q9Y2M5	none	Cell projection,Cytoplasm,Golgi apparatus,Nucleus	1|4	oneMulti
Q676U5	Q9HBM1	Cytoplasm,Endosome,Lysosome,Membrane	Centromere,Chromosome,Kinetochore,Nucleus	4|4	bothMulti
A4FU01	Q13614	none	Cell projection,Cytoplasm,Endosome,Membrane	1|4	oneMulti
P15927	P49642	Nucleus	DNA-directed RNA polymerase,Primosome	1|2	oneMulti
A0A0A0MT82	P01705	none	Cell membrane,Immunoglobulin,Membrane,Secreted	1|4	oneMulti
P18031	P56945	Endoplasmic reticulum,Membrane	Cell junction,Cell projection,Cytoplasm	2|3	bothMulti
A0A1B0GUS4	Q9H0F5	none	Nucleus	1|1	bothSingle
Q9NVF7	Q9NX40	Centromere,Chromosome,Kinetochore	Endosome	3|1	oneMulti
O14974	P52735	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
P32322	Q53H96	Mitochondrion	Cytoplasm	1|1	bothSingle
Q9BS34	Q9H0C1	Nucleus	none	1|1	bothSingle
Q96CT2	Q9UJP4	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
P19883	Q9HBX8	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q96A26	Q9H3G5	Membrane,Mitochondrion	none	2|1	oneMulti
O75348	Q96A05	Cell membrane,Membrane	none	2|1	oneMulti
Q6PID6	Q9GZS3	none	Cytoplasm,Nucleus	1|2	oneMulti
O95251	Q9NQC1	Centromere,Chromosome,Cytoplasm,Nucleus	none	4|1	oneMulti
P60981	Q86VQ3	none	Cytoplasm	1|1	bothSingle
Q6UW88	Q8N699	Membrane,Secreted	Nucleus	2|1	oneMulti
P03956	P17301	Extracellular matrix,Secreted	Membrane	2|1	oneMulti
P26641	Q05639	none	Nucleus	1|1	bothSingle
P05067	P49840	Amyloid,Cell membrane,Cell projection,Coated pit,Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Nucleus,Secreted	none	12|1	oneMulti
P24386	P35658	Cytoplasm	Nuclear pore complex,Nucleus	1|2	oneMulti
P07333	Q6ZMJ4	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q06124	Q07889	Cytoplasm,Nucleus	none	2|1	oneMulti
O60687	O60828	Cytoplasm,Secreted,Synapse	Nucleus	3|1	oneMulti
P61457	Q9H0N5	Cytoplasm,Nucleus	none	2|1	oneMulti
P26641	P39748	none	Mitochondrion,Nucleus	1|2	oneMulti
O43765	Q86UP2	Cytoplasm,Nucleus	Endoplasmic reticulum,Membrane	2|2	bothMulti
P24386	Q9UL25	Cytoplasm	Cell projection,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane	1|6	oneMulti
Q5W0V3	Q9UJC3	none	Cytoplasm,Cytoskeleton,Microtubule	1|3	oneMulti
O95816	Q9H3Z4	none	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane	1|4	oneMulti
P08887	P26441	Cell membrane,Membrane,Secreted	Cytoplasm	3|1	oneMulti
P14616	Q9Y4H2	Membrane	Cytoplasm	1|1	bothSingle
O75426	Q96LA8	none	Nucleus	1|1	bothSingle
Q96M61	Q9NXX6	Cytoplasm	Chromosome,Nucleus,Telomere	1|3	oneMulti
A6NHX0	Q6PJI9	Cytoplasm	Lysosome,Membrane	1|2	oneMulti
Q5T6C5	Q9UPT9	none	Nucleus	1|1	bothSingle
P61769	Q30201	Amyloid,MHC I,Secreted	Cell membrane,Membrane	3|2	bothMulti
Q13442	Q9H5X1	none	Cytoplasm	1|1	bothSingle
P29992	Q9HAV0	Cell membrane,Cytoplasm,Membrane	none	3|1	oneMulti
Q02045	Q8NEV4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
Q15506	Q9HAT0	Membrane	Cell projection,Cilium,Flagellum	1|3	oneMulti
Q9UBM4	Q9Y6N7	Extracellular matrix,Secreted	Cell membrane,Cell projection,Membrane	2|3	bothMulti
Q86VZ2	Q9UPS6	none	Chromosome,Cytoplasm,Nucleus	1|3	oneMulti
O60291	Q9Y2X8	Cell membrane,Cytoplasm,Endosome,Membrane,Nucleus	none	5|1	oneMulti
O00233	Q9BRP4	none	Proteasome	1|1	bothSingle
O43432	P06730	none	Cytoplasm,Nucleus	1|2	oneMulti
P49715	Q86V86	Nucleus	Cytoplasm	1|1	bothSingle
P01185	P47901	Secreted	Cell membrane,Membrane	1|2	oneMulti
O75190	Q6ZTN6	Cytoplasm,Nucleus	Cell membrane,Endosome,Membrane	2|3	bothMulti
P26441	Q08334	Cytoplasm	Membrane	1|1	bothSingle
A6NM36	O95490	none	Membrane	1|1	bothSingle
Q6ZTA4	Q9UKM9	Cytoplasm,Cytoskeleton	Nucleus,Spliceosome	2|2	bothMulti
Q92738	Q92928	Cytoplasmic vesicle,Golgi apparatus	Cytoplasm,Membrane	2|2	bothMulti
P21709	P22003	Cell membrane,Membrane	Secreted	2|1	oneMulti
A6NMX2	O60516	none	Cytoplasm,Nucleus	1|2	oneMulti
P0CJ71	P99999	Cytoplasm,Secreted	Mitochondrion	2|1	oneMulti
Q13619	Q9BTE7	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
Q8NCF5	Q9P2J9	Cytoplasm,Nucleus	Mitochondrion	2|1	oneMulti
Q8N488	Q9NRC1	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
O14965	Q96DF8	Cell membrane,Cell projection,Cilium,Cytoplasm,Cytoskeleton,Membrane,Microtubule	Nucleus,Spliceosome	7|2	bothMulti
Q8TDI7	Q96Q77	Cell membrane,Membrane	none	2|1	oneMulti
P26441	Q9HBE5	Cytoplasm	Membrane	1|1	bothSingle
Q9C0I9	Q9UIV1	none	Cytoplasm,Nucleus	1|2	oneMulti
Q63HR2	Q8N720	Cell junction,Cell membrane,Cytoplasm,Membrane	Nucleus	4|1	oneMulti
A8MXD5	Q8N4J0	Cell projection,Cilium	Cytoplasm,Nucleus	2|2	bothMulti
P27482	Q8NEV4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P98066	Q3ZCW2	Secreted	none	1|1	bothSingle
A0A494C0Z2	P06493	none	Cytoplasm,Cytoskeleton,Mitochondrion,Nucleus	1|4	oneMulti
P42574	P42575	Cytoplasm	none	1|1	bothSingle
O60502	P34059	Cytoplasm,Nucleus	Lysosome	2|1	oneMulti
P20290	Q96K17	Cytoplasm,Nucleus	none	2|1	oneMulti
Q86V59	Q8ND90	none	Nucleus	1|1	bothSingle
P09525	P20073	Cytoplasmic vesicle,Membrane	none	2|1	oneMulti
P40337	Q8WXK3	Cell membrane,Cytoplasm,Endoplasmic reticulum,Membrane,Nucleus	none	5|1	oneMulti
Q9BY42	Q9P013	Chromosome	Nucleus,Spliceosome	1|2	oneMulti
Q8N228	Q8TE99	Nucleus	Golgi apparatus,Membrane	1|2	oneMulti
O15116	Q9Y333	Cytoplasm	Nucleus,Spliceosome	1|2	oneMulti
P61586	Q9P107	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane,Nucleus	none	6|1	oneMulti
A0AUZ9	Q9BVI0	none	Nucleus	1|1	bothSingle
P63208	Q9NRD1	none	Cytoplasm	1|1	bothSingle
P68106	Q96NL1	Cytoplasm,Sarcoplasmic reticulum	Cytoplasmic vesicle,Lysosome,Membrane	2|3	bothMulti
P62987	Q71UM5	Cytoplasm,Nucleus	none	2|1	oneMulti
Q96A65	Q96KP1	Cell projection,Cytoplasm,Cytoskeleton	none	3|1	oneMulti
Q9BXT6	Q9UPN9	Cytoplasm	Nucleus	1|1	bothSingle
P49643	P56282	Primosome	Nucleus	1|1	bothSingle
O75880	Q9NX36	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
P11233	Q9NZL6	Cell membrane,Membrane,Mitochondrion	none	3|1	oneMulti
P61236	Q9UKC9	Nucleus	Membrane	1|1	bothSingle
Q6EEV6	Q96HI0	none	Nucleus	1|1	bothSingle
Q8IZ81	Q9NVJ2	none	Cell projection,Cytoplasm,Cytoskeleton,Endosome,Lysosome,Membrane,Synapse	1|7	oneMulti
P06307	Q8WVP5	Secreted	Cytoplasm	1|1	bothSingle
Q99523	Q9Y6R4	Cell membrane,Endoplasmic reticulum,Endosome,Golgi apparatus,Lysosome,Membrane,Nucleus	Cytoplasm	7|1	oneMulti
P15586	Q9NWM8	Lysosome	Endoplasmic reticulum	1|1	bothSingle
P62993	Q8WWW8	Cytoplasm,Endosome,Golgi apparatus,Nucleus	none	4|1	oneMulti
Q8NDV7	Q8WWQ0	Cytoplasm	Nucleus	1|1	bothSingle
P09693	P61769	Cell membrane,Membrane	Amyloid,MHC I,Secreted	2|3	bothMulti
P16220	Q16595	Nucleus	Cytoplasm,Mitochondrion	1|2	oneMulti
Q13042	Q9BS18	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
Q99757	Q9BXL8	Mitochondrion	Nucleus	1|1	bothSingle
Q96A84	Q9Y6J9	Extracellular matrix,Secreted	Nucleus	2|1	oneMulti
P04626	P52735	Cell membrane,Cell projection,Cytoplasm,Endosome,Membrane,Nucleus	none	6|1	oneMulti
Q6UWT2	Q8N111	Secreted	Membrane	1|1	bothSingle
P63220	Q9UM13	Cytoplasm,Endoplasmic reticulum	none	2|1	oneMulti
Q9GZT5	Q9H237	Extracellular matrix,Secreted	Endoplasmic reticulum,Membrane	2|2	bothMulti
P61981	Q04917	Cytoplasm	none	1|1	bothSingle
O95994	Q9NR00	Endoplasmic reticulum,Secreted	Cytoplasm,Nucleus	2|2	bothMulti
P46459	Q9H115	Cytoplasm	Membrane	1|1	bothSingle
P04198	Q8IYB7	Nucleus	Cytoplasm	1|1	bothSingle
Q8WVD3	Q9Y2X8	Chromosome	none	1|1	bothSingle
Q7Z4R8	Q9Y2A9	Secreted	Golgi apparatus,Membrane	1|2	oneMulti
A8MT33	Q9Y2D1	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
O00562	Q12800	Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Lipid droplet,Membrane	Nucleus	5|1	oneMulti
P61313	Q13823	Cytoplasm	Nucleus	1|1	bothSingle
Q8IU85	Q96GE6	Cytoplasm,Nucleus	Cell projection	2|1	oneMulti
Q8IXI1	Q9Y566	Membrane,Mitochondrion,Mitochondrion outer membrane	Cytoplasm,Synapse	3|2	bothMulti
Q5SW96	Q8N8I0	Cytoplasm	none	1|1	bothSingle
P05198	Q9ULT8	Cytoplasm	none	1|1	bothSingle
P36894	Q9UPN9	Cell membrane,Membrane	Nucleus	2|1	oneMulti
Q8WUM4	Q9BY43	Cell junction,Cytoplasm,Cytoskeleton,Secreted,Tight junction	Cytoplasmic vesicle,Endosome,Membrane	5|3	bothMulti
O60602	Q99836	Cell membrane,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
P52566	P78414	Cytoplasm	Nucleus	1|1	bothSingle
P40429	Q9Y5M8	Cytoplasm	Endoplasmic reticulum,Membrane	1|2	oneMulti
O14921	P11488	none	Cell projection,Membrane	1|2	oneMulti
Q7RTV5	Q9NRN7	none	Cytoplasm	1|1	bothSingle
Q8N7X4	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
Q7Z602	Q9Y3C5	Cell membrane,Membrane	Cytoplasm,Endosome,Nucleus	2|3	bothMulti
Q8N5I4	Q8N661	Secreted	Cytoplasm,Endoplasmic reticulum,Membrane	1|3	oneMulti
P62877	Q13619	Cytoplasm,Nucleus	none	2|1	oneMulti
Q15833	Q8N4C7	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P11926	Q9UMX2	none	Cytoplasm,Nucleus	1|2	oneMulti
A1KZ92	P08246	Cell membrane,Cytoplasm,Endoplasmic reticulum,Membrane,Secreted	Cytoplasmic vesicle	5|1	oneMulti
Q5T2D3	Q9BXS4	Cytoplasm,Nucleus	Cell membrane,Endosome,Golgi apparatus,Lysosome,Membrane	2|5	bothMulti
A8MZ59	Q8N5W8	Nucleus	Secreted	1|1	bothSingle
O95757	P17066	Cytoplasm,Nucleus	none	2|1	oneMulti
Q9BVL2	Q9H1M0	Membrane,Nuclear pore complex,Nucleus	none	3|1	oneMulti
Q6EEV6	Q9Y6X2	none	Cytoplasm,Nucleus	1|2	oneMulti
O15264	P49137	none	Cytoplasm,Nucleus	1|2	oneMulti
O95707	Q32NC0	Nucleus	none	1|1	bothSingle
Q96S15	Q9Y6P5	Lysosome,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
P54132	Q13472	Nucleus	Mitochondrion	1|1	bothSingle
P40429	Q99848	Cytoplasm	Nucleus	1|1	bothSingle
O14832	P08575	Peroxisome	Cell membrane,Membrane	1|2	oneMulti
Q9H5J0	Q9NXS3	Nucleus	none	1|1	bothSingle
P62072	Q8TDP1	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
P30154	Q00005	none	Cytoplasm,Cytoskeleton,Membrane,Mitochondrion,Mitochondrion outer membrane	1|5	oneMulti
O95190	P11926	Nucleus	none	1|1	bothSingle
P43146	P59510	Membrane	Extracellular matrix,Secreted	1|2	oneMulti
P36405	Q96S96	Cell projection,Cytoplasm,Cytoskeleton,Golgi apparatus,Membrane,Nucleus	Secreted	6|1	oneMulti
P15814	S4R460	Endoplasmic reticulum,Secreted	none	2|1	oneMulti
Q92731	Q9HCI7	Nucleus	none	1|1	bothSingle
O75145	P23468	Cytoplasm,Cytoplasmic vesicle	Membrane	2|1	oneMulti
Q5T0U0	Q8N0S2	none	Chromosome,Nucleus	1|2	oneMulti
P06213	Q9UNE7	Cell membrane,Endosome,Lysosome,Membrane	Cytoplasm,Mitochondrion,Nucleus	4|3	bothMulti
Q9UPT5	Q9Y2D4	Cell membrane,Cytoplasm,Membrane	none	3|1	oneMulti
Q96FW1	Q9NS69	Cytoplasm	Membrane,Mitochondrion,Mitochondrion outer membrane	1|3	oneMulti
Q6UX04	Q8IZP6	Nucleus	none	1|1	bothSingle
P05141	Q13422	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Nucleus	3|2	bothMulti
Q8WVY7	Q9H4A6	Nucleus	Cell membrane,Endosome,Golgi apparatus,Membrane,Mitochondrion	1|5	oneMulti
B7ZAQ6	Q5HYI8	Golgi apparatus,Membrane	none	2|1	oneMulti
Q6T310	Q86VI3	Nucleus	none	1|1	bothSingle
Q8N4S0	Q9H3Y0	none	Secreted	1|1	bothSingle
Q07325	Q9NZS2	Secreted	Membrane	1|1	bothSingle
Q96G27	Q9BW72	none	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
O14602	Q9NY12	Cytoplasm	Nucleus	1|1	bothSingle
P54829	Q16539	Endoplasmic reticulum,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
Q13636	Q92696	Cytoplasmic vesicle,Endosome,Golgi apparatus,Membrane	none	4|1	oneMulti
O43521	Q9NSE2	Membrane,Mitochondrion	none	2|1	oneMulti
P43080	Q9NZU5	Cell projection,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
P11177	Q9NXC2	Mitochondrion	Secreted	1|1	bothSingle
P82673	Q96S96	Mitochondrion	Secreted	1|1	bothSingle
O15455	Q9Y572	Endoplasmic reticulum,Endosome,Membrane	Cytoplasm,Nucleus	3|2	bothMulti
O14933	P50876	none	Cell membrane,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Membrane	1|5	oneMulti
P31948	Q9UF47	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
P53041	Q9UBS4	Amyloid,Cell membrane,Cytoplasm,Membrane,Nucleus	Endoplasmic reticulum	5|1	oneMulti
Q5BKU9	Q96GJ1	none	Mitochondrion	1|1	bothSingle
P35244	Q9Y547	Nucleus	Cell projection,Cilium	1|2	oneMulti
P0C2W1	P63208	Cell membrane,Cell projection,Membrane,Nucleus,Postsynaptic cell membrane,Secreted,Synapse	none	7|1	oneMulti
Q13616	Q9BTE7	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
P11597	P56589	Secreted	Membrane,Peroxisome	1|2	oneMulti
Q3T8J9	Q9UHA2	Nucleus	none	1|1	bothSingle
P42766	Q6P5R6	Cytoplasm	none	1|1	bothSingle
A6NFF2	Q9Y623	none	Cytoplasm,Thick filament	1|2	oneMulti
O75864	Q9ULJ7	none	Endosome	1|1	bothSingle
O15033	P68036	none	Cytoplasm,Nucleus	1|2	oneMulti
Q9BTV7	Q9HC52	none	Nucleus	1|1	bothSingle
P31946	Q04917	Cytoplasm,Membrane,Vacuole	none	3|1	oneMulti
Q9BQG1	Q9UM19	Cell membrane,Cytoplasmic vesicle,Membrane	none	3|1	oneMulti
P05408	Q6UVY6	Secreted	Endoplasmic reticulum,Membrane	1|2	oneMulti
O15519	Q14790	none	Cell projection,Cytoplasm,Nucleus	1|3	oneMulti
O95363	P07814	Mitochondrion	Cytoplasm,Membrane	1|2	oneMulti
O14763	Q13158	Membrane	none	1|1	bothSingle
Q15131	Q8N1B3	Cell projection,Cytoplasm,Cytoskeleton	none	3|1	oneMulti
P10147	Q9HBE5	Secreted	Membrane	1|1	bothSingle
Q07002	Q96DC7	none	Membrane	1|1	bothSingle
O75911	Q15582	Membrane	Amyloid,Extracellular matrix,Secreted	1|3	oneMulti
P12235	P55196	Membrane,Mitochondrion,Mitochondrion inner membrane	Cell junction	3|1	oneMulti
P12236	Q13233	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
P49642	Q15054	DNA-directed RNA polymerase,Primosome	Cytoplasm,Nucleus	2|2	bothMulti
Q71UM5	Q9Y3A4	none	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
P35613	P54577	Cell membrane,Cell projection,Endoplasmic reticulum,Endosome,Membrane	Cytoplasm,Nucleus	5|2	bothMulti
Q6DKJ4	Q8N2Q7	Cytoplasm,Nucleus	Cell membrane,Membrane,Secreted,Synapse	2|4	bothMulti
Q53S08	Q96BZ9	none	Membrane	1|1	bothSingle
O75717	Q8WUY9	Nucleus	none	1|1	bothSingle
Q96A32	Q9Y623	none	Cytoplasm,Thick filament	1|2	oneMulti
Q15013	Q15645	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
P06307	P53701	Secreted	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
O95257	Q9Y6R4	none	Cytoplasm	1|1	bothSingle
A4FU01	Q13496	none	Cell membrane,Cell projection,Cytoplasm,Endosome,Membrane	1|5	oneMulti
Q7Z3Y8	Q8N3L3	Cytoplasm,Intermediate filament,Keratin	none	3|1	oneMulti
O76075	Q9UHD4	Cytoplasm,Nucleus	Cytoplasmic vesicle,Endoplasmic reticulum,Golgi apparatus,Lipid droplet,Membrane	2|5	bothMulti
O94813	P56178	Secreted	Nucleus	1|1	bothSingle
P27487	P62995	Cell junction,Cell membrane,Cell projection,Membrane,Secreted	Nucleus	5|1	oneMulti
Q9UL45	Q9Y3C0	Cytoplasm,Membrane	Endosome	2|1	oneMulti
P01106	P28329	Cytoplasm,Nucleus	none	2|1	oneMulti
P02750	Q96Q06	Secreted	Cell membrane,Cytoplasm,Lipid droplet,Membrane	1|4	oneMulti
P41223	Q5VWI1	Nucleus,Spliceosome	none	2|1	oneMulti
P62256	Q8TCQ1	none	Cell membrane,Cytoplasmic vesicle,Endosome,Golgi apparatus,Lysosome,Membrane	1|6	oneMulti
Q92828	Q9UQ03	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
Q15648	Q9Y2K6	Nucleus	Cytoplasm,Cytoskeleton,Endoplasmic reticulum	1|3	oneMulti
Q13619	Q96GG9	none	Cytoplasm,Nucleus	1|2	oneMulti
P55036	Q9Y3C5	Proteasome	Cytoplasm,Endosome,Nucleus	1|3	oneMulti
Q86VX2	Q9Y6G5	Cytoplasmic vesicle	Cytoplasm,Nucleus	1|2	oneMulti
Q08426	Q9HCK0	Peroxisome	Nucleus	1|1	bothSingle
A0PK05	Q9Y5L5	Membrane	none	1|1	bothSingle
Q7RTU5	Q86TI4	Nucleus	none	1|1	bothSingle
O75489	Q96FX7	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
P29122	Q9P0P0	Endoplasmic reticulum,Membrane,Secreted	none	3|1	oneMulti
P54792	Q13547	Cytoplasm	Nucleus	1|1	bothSingle
Q6P3W2	Q9BQC3	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
Q13064	Q9H000	none	Cytoplasm,Nucleus	1|2	oneMulti
P14923	Q6P1J9	Cell junction,Cytoplasm,Cytoskeleton,Membrane	Nucleus	4|1	oneMulti
O00160	Q8TD86	none	Cytoplasm,Nucleus	1|2	oneMulti
A0A2R8Y422	Q5JVS0	none	Cytoplasm,Nucleus	1|2	oneMulti
Q6UB98	Q8WVF1	Nucleus	Cell membrane,Membrane	1|2	oneMulti
P46734	Q99683	none	Cytoplasm,Endoplasmic reticulum	1|2	oneMulti
P05412	Q16595	Nucleus	Cytoplasm,Mitochondrion	1|2	oneMulti
Q13164	Q96PV0	Cytoplasm,Nucleus	none	2|1	oneMulti
Q07617	Q8WWB5	Cytoplasm	none	1|1	bothSingle
O60231	Q8WUD4	Cytoplasm,Nucleus,Spliceosome	none	3|1	oneMulti
O14965	Q9NZM5	Cell membrane,Cell projection,Cilium,Cytoplasm,Cytoskeleton,Membrane,Microtubule	Nucleus	7|1	oneMulti
P46781	Q13233	Cytoplasm,Nucleus	none	2|1	oneMulti
Q8WUD4	Q9BZJ0	none	Nucleus,Spliceosome	1|2	oneMulti
O14976	Q96MI6	Cell junction,Cytoplasm,Cytoplasmic vesicle,Golgi apparatus	Nucleus	4|1	oneMulti
O14775	Q01167	Membrane	Cytoplasm,Nucleus	1|2	oneMulti
Q92466	Q9NRX4	Chromosome,Nucleus	Cytoplasm	2|1	oneMulti
P07384	P20810	Cell membrane,Cytoplasm,Membrane	none	3|1	oneMulti
O60341	Q2M3C6	Nucleus	Cell membrane,Cell projection,Membrane	1|3	oneMulti
Q13042	Q9NXE4	Cytoplasm,Cytoskeleton	Cell membrane,Endoplasmic reticulum,Golgi apparatus,Membrane,Nucleus	2|5	bothMulti
P61769	Q29980	Amyloid,MHC I,Secreted	Cell membrane,Membrane	3|2	bothMulti
A6NED2	Q96DC7	Chromosome	Membrane	1|1	bothSingle
O75031	Q96NM4	Chromosome,Cytoplasm	Nucleus	2|1	oneMulti
P62304	Q9P0P0	Cytoplasm,Nucleus,Spliceosome	none	3|1	oneMulti
Q5VXH4	Q86YC2	none	Nucleus	1|1	bothSingle
P63316	Q9H1R3	none	Cytoplasm	1|1	bothSingle
P01178	Q05086	Secreted	Cytoplasm,Nucleus,Proteasome	1|3	oneMulti
P22612	P31323	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q8IZ81	Q96BM9	none	Cell projection,Cytoplasm,Cytoskeleton,Endosome,Lysosome,Membrane,Synapse	1|7	oneMulti
P09234	Q9P0S2	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
A0A1W2PP81	Q15543	none	Nucleus	1|1	bothSingle
A8MTJ3	Q2M5E4	Cytoplasm	none	1|1	bothSingle
Q8IZ16	Q9NTU4	Cytoplasmic vesicle	Cell membrane,Cell projection,Cilium,Flagellum,Membrane	1|5	oneMulti
Q5QP82	Q9C0C7	none	Cell junction,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Endoplasmic reticulum,Mitochondrion,Nucleus	1|7	oneMulti
Q14C86	Q8N752	Endosome,Membrane	Cytoplasm	2|1	oneMulti
P06307	Q00059	Secreted	Mitochondrion,Mitochondrion nucleoid	1|2	oneMulti
P18124	Q8N9T8	Cytoplasm	none	1|1	bothSingle
O14490	Q4FZB7	Cell membrane,Membrane,Synapse	Chromosome,Nucleus	3|2	bothMulti
A6NDL7	P78411	none	Nucleus	1|1	bothSingle
O75143	Q8IYT8	Cytoplasm	Cytoplasmic vesicle,Membrane	1|2	oneMulti
Q13163	Q13164	none	Cytoplasm,Nucleus	1|2	oneMulti
P01566	Q9HBE5	Secreted	Membrane	1|1	bothSingle
Q5U5X0	Q96S96	Mitochondrion	Secreted	1|1	bothSingle
P05013	P17181	Secreted	Cell membrane,Endosome,Lysosome,Membrane	1|4	oneMulti
P20774	Q12860	Extracellular matrix,Secreted	Cell membrane,Membrane	2|2	bothMulti
O14733	Q13233	Cytoplasm,Nucleus	none	2|1	oneMulti
O00308	Q9Y2X8	Nucleus	none	1|1	bothSingle
Q08426	Q9UKT9	Peroxisome	Cytoplasm,Nucleus	1|2	oneMulti
Q13368	Q9BUI4	Cell junction,Cell membrane,Membrane	DNA-directed RNA polymerase,Nucleus	3|2	bothMulti
P62837	Q96EQ8	none	Golgi apparatus,Membrane	1|2	oneMulti
Q8IUZ0	Q8N5T2	Cytoplasm,Cytoskeleton,Microtubule	none	3|1	oneMulti
O43583	Q15118	none	Mitochondrion	1|1	bothSingle
Q15366	Q9NP59	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
O00299	P23434	Cell membrane,Cytoplasm,Endoplasmic reticulum,Membrane,Nucleus	Mitochondrion	5|1	oneMulti
P10145	P25024	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q92613	Q9HAF1	none	Centromere,Chromosome,Kinetochore,Nucleus	1|4	oneMulti
P26373	Q9NZL4	Cytoplasm	none	1|1	bothSingle
Q15181	Q9P2G1	Cytoplasm	none	1|1	bothSingle
P08069	P52735	Cell membrane,Membrane	none	2|1	oneMulti
Q8TD86	Q9NR82	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
Q01534	Q86VY4	Cytoplasm,Nucleus	none	2|1	oneMulti
Q8N720	Q9H0W8	Nucleus	none	1|1	bothSingle
O95479	P04792	Endoplasmic reticulum	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
O00244	P35670	none	Cytoplasm,Endosome,Golgi apparatus,Membrane,Mitochondrion	1|5	oneMulti
P57721	Q96PQ0	Cytoplasm	Cell membrane,Cell projection,Cytoplasmic vesicle,Endosome,Membrane,Postsynaptic cell membrane,Synapse,Synaptosome	1|8	oneMulti
Q92734	Q99759	Endoplasmic reticulum	none	1|1	bothSingle
P17028	Q96JS3	Nucleus	none	1|1	bothSingle
O00590	P22362	Cell membrane,Endosome,Membrane	Secreted	3|1	oneMulti
Q13042	Q7L804	Cytoplasm,Cytoskeleton	Cell membrane,Cell projection,Endosome,Membrane	2|4	bothMulti
Q5MJ10	Q9Y2J2	none	Cell junction,Cell membrane,Cytoplasm,Cytoskeleton,Membrane	1|5	oneMulti
O43463	O75293	Cell membrane,Centromere,Chromosome,Cytoplasmic vesicle,Membrane,Nucleus	none	6|1	oneMulti
P62913	Q71UM5	Cytoplasm,Nucleus	none	2|1	oneMulti
P61586	Q92738	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane,Nucleus	Cytoplasmic vesicle,Golgi apparatus	6|2	bothMulti
O60762	Q9H4E5	Endoplasmic reticulum	Cell membrane,Membrane	1|2	oneMulti
P00492	Q9NRG1	Cytoplasm	none	1|1	bothSingle
P50747	Q8N6D5	Cytoplasm,Mitochondrion	none	2|1	oneMulti
P62837	Q9H0M0	none	Cell membrane,Cytoplasm,Membrane,Nucleus	1|4	oneMulti
